Local,UTC,JD(UTC),Interval,Accuracy,Description
2020/04/29 16:28:53.3,2020/04/29 23:28:53.3,2458969.478395,125:47:15.6,0.06,
2020/04/29 13:46:25.8,2020/04/29 20:46:25.8,2458969.365577,123:04:48.1,0.06,
2020/04/29 11:59:34.5,2020/04/29 18:59:34.5,2458969.291372,121:17:56.9,0.07,
2020/04/29 11:04:51.8,2020/04/29 18:04:51.8,2458969.253378,120:23:14.2,0.10,17
2020/04/29 01:21:30.5,2020/04/29 08:21:30.5,2458968.848270,110:39:52.8,0.01,
2020/04/29 00:56:09.4,2020/04/29 07:56:09.4,2458968.830664,110:14:31.7,0.10,
2020/04/29 00:31:11.9,2020/04/29 07:31:11.9,2458968.813333,109:49:34.2,0.09,
2020/04/29 00:09:54.0,2020/04/29 07:09:54.0,2458968.798542,109:28:16.4,0.07,
2020/04/28 22:33:05.6,2020/04/29 05:33:05.6,2458968.731314,107:51:27.9,0.09,
2020/04/28 21:36:16.5,2020/04/29 04:36:16.5,2458968.691858,106:54:38.8,0.06,
2020/04/28 21:04:42.9,2020/04/29 04:04:42.9,2458968.669941,106:23:05.2,0.06,
2020/04/28 20:08:08.8,2020/04/29 03:08:08.8,2458968.630658,105:26:31.2,0.08,
2020/04/28 19:05:21.0,2020/04/29 02:05:21.0,2458968.587049,104:23:43.3,0.06,
2020/04/28 18:00:19.0,2020/04/29 01:00:19.0,2458968.541886,103:18:41.3,0.06,
2020/04/28 16:58:07.9,2020/04/28 23:58:07.9,2458968.498702,102:16:30.2,0.11,
2020/04/28 15:44:20.4,2020/04/28 22:44:20.4,2458968.447458,101:02:42.7,0.08,
2020/04/28 15:16:27.3,2020/04/28 22:16:27.3,2458968.428094,100:34:49.6,0.12,
2020/04/28 14:18:53.1,2020/04/28 21:18:53.1,2458968.388114,99:37:15.4,0.03,
2020/04/28 13:22:15.2,2020/04/28 20:22:15.2,2458968.348787,98:40:37.5,0.14,
2020/04/28 11:59:39.2,2020/04/28 18:59:39.2,2458968.291426,97:18:01.5,0.01,
2020/04/28 10:33:17.6,2020/04/28 17:33:17.6,2458968.231454,95:51:39.9,0.04,14
2020/04/28 02:15:04.2,2020/04/28 09:15:04.2,2458967.885466,87:33:26.5,0.03,
2020/04/28 01:38:32.4,2020/04/28 08:38:32.4,2458967.860097,86:56:54.7,0.10,
2020/04/28 01:24:30.8,2020/04/28 08:24:30.8,2458967.850357,86:42:53.1,0.04,
2020/04/28 00:57:23.9,2020/04/28 07:57:23.9,2458967.831526,86:15:46.2,0.02,
2020/04/28 00:37:02.9,2020/04/28 07:37:02.9,2458967.817395,85:55:25.2,0.08,
2020/04/28 00:19:03.0,2020/04/28 07:19:03.0,2458967.804895,85:37:25.3,0.07,
2020/04/27 23:21:33.2,2020/04/28 06:21:33.2,2458967.764968,84:39:55.5,0.04,
2020/04/27 21:56:31.7,2020/04/28 04:56:31.7,2458967.705922,83:14:54.0,0.10,
2020/04/27 21:35:43.7,2020/04/28 04:35:43.7,2458967.691477,82:54:06.0,0.03,
2020/04/27 21:03:16.3,2020/04/28 04:03:16.3,2458967.668938,82:21:38.6,0.07,
2020/04/27 20:16:02.0,2020/04/28 03:16:02.0,2458967.636134,81:34:24.3,0.09,
2020/04/27 19:35:21.1,2020/04/28 02:35:21.1,2458967.607883,80:53:43.4,0.10,
2020/04/27 19:08:02.3,2020/04/28 02:08:02.3,2458967.588915,80:26:24.6,0.09,
2020/04/27 18:07:39.7,2020/04/28 01:07:39.7,2458967.546987,79:26:02.0,0.15,
2020/04/27 16:48:21.6,2020/04/27 23:48:21.6,2458967.491917,78:06:43.9,0.07,
2020/04/27 16:04:22.8,2020/04/27 23:04:22.8,2458967.461375,77:22:45.1,0.03,
2020/04/27 15:15:52.3,2020/04/27 22:15:52.3,2458967.427689,76:34:14.6,0.11,
2020/04/27 13:51:27.1,2020/04/27 20:51:27.1,2458967.369063,75:09:49.4,0.07,10 minutes prior
2020/04/27 13:00:22.6,2020/04/27 20:00:22.6,2458967.333595,74:18:44.9,0.06,
2020/04/27 11:57:29.9,2020/04/27 18:57:29.9,2458967.289930,73:15:52.3,0.02,
2020/04/27 11:37:47.7,2020/04/27 18:37:47.7,2458967.276246,72:56:10.0,0.03,
2020/04/27 10:58:32.0,2020/04/27 17:58:32.0,2458967.248981,72:16:54.3,0.07,16
2020/04/27 01:25:34.4,2020/04/27 08:25:34.4,2458966.851092,62:43:56.7,0.05,
2020/04/27 00:41:05.0,2020/04/27 07:41:05.0,2458966.820197,61:59:27.3,0.02,
2020/04/26 23:09:09.4,2020/04/27 06:09:09.4,2458966.756359,60:27:31.7,0.02,
2020/04/26 22:30:17.7,2020/04/27 05:30:17.7,2458966.729371,59:48:40.0,0.11,
2020/04/26 21:29:53.5,2020/04/27 04:29:53.5,2458966.687425,58:48:15.8,0.02,
2020/04/26 20:37:35.3,2020/04/27 03:37:35.3,2458966.651103,57:55:57.6,0.03,
2020/04/26 19:11:40.8,2020/04/27 02:11:40.8,2458966.591444,56:30:03.1,0.00,
2020/04/26 18:24:52.9,2020/04/27 01:24:52.9,2458966.558946,55:43:15.2,0.08,
2020/04/26 16:19:59.6,2020/04/26 23:19:59.6,2458966.472217,53:38:21.9,0.02,
2020/04/26 15:19:05.5,2020/04/26 22:19:05.5,2458966.429925,52:37:27.8,0.09,
2020/04/26 13:26:59.4,2020/04/26 20:26:59.4,2458966.352077,50:45:21.7,0.08,
2020/04/26 12:04:51.0,2020/04/26 19:04:51.0,2458966.295035,49:23:13.3,0.07,
2020/04/26 11:21:37.6,2020/04/26 18:21:37.6,2458966.265019,48:39:59.9,0.01,10
2020/04/26 01:31:04.7,2020/04/26 08:31:04.7,2458965.854915,38:49:27.0,0.01,
2020/04/26 01:11:10.1,2020/04/26 08:11:10.1,2458965.841089,38:29:32.4,0.01,5 min before this time stamp
2020/04/25 23:23:27.2,2020/04/26 06:23:27.2,2458965.766287,36:41:49.5,0.16,
2020/04/25 22:53:04.4,2020/04/26 05:53:04.4,2458965.745189,36:11:26.7,0.07,Oh
2020/04/25 22:32:47.4,2020/04/26 05:32:47.4,2458965.731104,35:51:09.7,0.11,H
2020/04/25 22:04:57.5,2020/04/26 05:04:57.5,2458965.711777,35:23:19.8,0.06,
